Regras de tamanho 2, ou seja 1 elemento no antecedente e 1 no consequente da regra, com minsup=0.0 e minconf=0.01

C:\Users\Lucas\AppData\Local\Programs\Python\Python36-32\python.exe C:/Users/Lucas/PycharmProjects/machine_learning/machineLearning.py
{SP_Length: 4.9} -> {SP_Width: 3.0} (conf: 0.167, supp: 0.007, lift: 0.962, conv: 0.992)
{SP_Width: 3.0} -> {SP_Length: 5.4} (conf: 0.038, supp: 0.007, lift: 0.962, conv: 0.998)
{SP_Length: 5.4} -> {SP_Width: 3.0} (conf: 0.167, supp: 0.007, lift: 0.962, conv: 0.992)
{SP_Width: 3.0} -> {SP_Length: 6.0} (conf: 0.038, supp: 0.007, lift: 0.962, conv: 0.998)
{SP_Length: 6.0} -> {SP_Width: 3.0} (conf: 0.167, supp: 0.007, lift: 0.962, conv: 0.992)
{SP_Width: 3.3} -> {Class: Iris-setosa} (conf: 0.333, supp: 0.013, lift: 1.000, conv: 1.000)
{Class: Iris-setosa} -> {SP_Width: 3.3} (conf: 0.040, supp: 0.013, lift: 1.000, conv: 1.000)
{SP_Length: 6.3} -> {Class: Iris-versicolor} (conf: 0.333, supp: 0.020, lift: 1.000, conv: 1.000)
{Class: Iris-versicolor} -> {SP_Length: 6.3} (conf: 0.060, supp: 0.020, lift: 1.000, conv: 1.000)
{SP_Length: 6.8} -> {Class: Iris-versicolor} (conf: 0.333, supp: 0.007, lift: 1.000, conv: 1.000)
{Class: Iris-versicolor} -> {SP_Length: 6.8} (conf: 0.020, supp: 0.007, lift: 1.000, conv: 1.000)
{SP_Length: 5.9} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.007, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Length: 5.9} (conf: 0.020, supp: 0.007, lift: 1.000, conv: 1.000)
{SP_Length: 6.0} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.013, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Length: 6.0} (conf: 0.040, supp: 0.013, lift: 1.000, conv: 1.000)
{SP_Length: 6.1} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.013, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Length: 6.1} (conf: 0.040, supp: 0.013, lift: 1.000, conv: 1.000)
{SP_Width: 2.2} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.007, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Width: 2.2} (conf: 0.020, supp: 0.007, lift: 1.000, conv: 1.000)
{SP_Width: 3.1} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.027, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Width: 3.1} (conf: 0.080, supp: 0.027, lift: 1.000, conv: 1.000)
{SP_Width: 3.6} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.007, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Width: 3.6} (conf: 0.020, supp: 0.007, lift: 1.000, conv: 1.000)
{SP_Width: 3.8} -> {Class: Iris-virginica} (conf: 0.333, supp: 0.013, lift: 1.000, conv: 1.000)
{Class: Iris-virginica} -> {SP_Width: 3.8} (conf: 0.040, supp: 0.013, lift: 1.000, conv: 1.000)
{SP_Width: 3.1} -> {PT_Width: 1.8} (conf: 0.083, supp: 0.007, lift: 1.042, conv: 1.004)
{PT_Width: 1.8} -> {SP_Width: 3.1} (conf: 0.083, supp: 0.007, lift: 1.042, conv: 1.004)
{SP_Length: 5.0} -> {PT_Legth: 1.5} (conf: 0.100, supp: 0.007, lift: 1.071, conv: 1.007)
{PT_Legth: 1.5} -> {SP_Length: 5.0} (conf: 0.071, supp: 0.007, lift: 1.071, conv: 1.005)
{SP_Length: 6.7} -> {Class: Iris-versicolor} (conf: 0.375, supp: 0.020, lift: 1.125, conv: 1.067)
{Class: Iris-versicolor} -> {SP_Length: 6.7} (conf: 0.060, supp: 0.020, lift: 1.125, conv: 1.007)
{SP_Width: 3.2} -> {Class: Iris-setosa} (conf: 0.385, supp: 0.033, lift: 1.154, conv: 1.083)
{Class: Iris-setosa} -> {SP_Width: 3.2} (conf: 0.100, supp: 0.033, lift: 1.154, conv: 1.015)
{SP_Width: 3.2} -> {Class: Iris-virginica} (conf: 0.385, supp: 0.033, lift: 1.154, conv: 1.083)
{Class: Iris-virginica} -> {SP_Width: 3.2} (conf: 0.100, supp: 0.033, lift: 1.154, conv: 1.015)
{SP_Width: 3.0} -> {PT_Legth: 4.9} (conf: 0.038, supp: 0.007, lift: 1.154, conv: 1.005)
{PT_Legth: 4.9} -> {SP_Width: 3.0} (conf: 0.200, supp: 0.007, lift: 1.154, conv: 1.033)
{SP_Width: 3.0} -> {PT_Width: 1.2} (conf: 0.038, supp: 0.007, lift: 1.154, conv: 1.005)
{PT_Width: 1.2} -> {SP_Width: 3.0} (conf: 0.200, supp: 0.007, lift: 1.154, conv: 1.033)
{SP_Width: 3.2} -> {SP_Length: 5.0} (conf: 0.077, supp: 0.007, lift: 1.154, conv: 1.011)
{SP_Length: 5.0} -> {SP_Width: 3.2} (conf: 0.100, supp: 0.007, lift: 1.154, conv: 1.015)
{SP_Width: 2.8} -> {SP_Length: 6.3} (conf: 0.071, supp: 0.007, lift: 1.190, conv: 1.012)
{SP_Length: 6.3} -> {SP_Width: 2.8} (conf: 0.111, supp: 0.007, lift: 1.190, conv: 1.020)
{PT_Legth: 4.9} -> {Class: Iris-versicolor} (conf: 0.400, supp: 0.013, lift: 1.200, conv: 1.111)
{Class: Iris-versicolor} -> {PT_Legth: 4.9} (conf: 0.040, supp: 0.013, lift: 1.200, conv: 1.007)
{SP_Width: 2.6} -> {Class: Iris-virginica} (conf: 0.400, supp: 0.013, lift: 1.200, conv: 1.111)
{Class: Iris-virginica} -> {SP_Width: 2.6} (conf: 0.040, supp: 0.013, lift: 1.200, conv: 1.007)
{SP_Width: 3.1} -> {Class: Iris-setosa} (conf: 0.417, supp: 0.033, lift: 1.250, conv: 1.143)
{Class: Iris-setosa} -> {SP_Width: 3.1} (conf: 0.100, supp: 0.033, lift: 1.250, conv: 1.022)
{SP_Width: 2.9} -> {PT_Legth: 1.4} (conf: 0.100, supp: 0.007, lift: 1.250, conv: 1.022)
{PT_Legth: 1.4} -> {SP_Width: 2.9} (conf: 0.083, supp: 0.007, lift: 1.250, conv: 1.018)
{SP_Width: 2.9} -> {PT_Width: 1.5} (conf: 0.100, supp: 0.007, lift: 1.250, conv: 1.022)
{PT_Width: 1.5} -> {SP_Width: 2.9} (conf: 0.083, supp: 0.007, lift: 1.250, conv: 1.018)
{SP_Length: 6.3} -> {PT_Width: 1.3} (conf: 0.111, supp: 0.007, lift: 1.282, conv: 1.027)
{PT_Width: 1.3} -> {SP_Length: 6.3} (conf: 0.077, supp: 0.007, lift: 1.282, conv: 1.018)
